team,experience,salary,points3,points2,points1,points,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,efficiency
BOS,9,0,86,293,108,952,95,370,337,52,86,115,138,19.93
BOS,11,0,27,186,67,520,118,248,140,51,62,77,211,11.31
BOS,6,0,108,251,68,894,65,269,122,68,11,88,141,16.82
BOS,0,0,1,2,3,10,2,2,3,0,0,0,0,3.2
BOS,9,0,39,56,33,262,16,68,33,9,7,25,48,4.96
BOS,5,0,245,437,590,2199,43,162,448,70,13,210,167,25.45
BOS,4,0,157,176,176,999,48,367,155,73,23,80,161,16.64
BOS,2,0,12,13,6,68,6,20,4,10,2,4,15,2.52
BOS,0,0,46,146,85,515,45,175,64,35,18,68,142,7.09
BOS,6,0,45,69,26,299,59,213,71,25,17,39,122,6.37
BOS,1,0,0,15,8,38,13,21,7,3,6,9,12,2.4
BOS,3,0,68,192,90,678,73,288,148,43,29,96,207,12.2
BOS,2,0,94,175,203,835,78,227,364,125,34,159,192,12.96
BOS,1,0,57,94,51,410,40,187,131,46,11,47,69,7
BOS,4,0,0,78,22,178,43,81,42,7,21,20,61,5.33
CLE,11,0,0,0,0,0,0,0,0,0,0,0,2,0
CLE,10,0,137,101,63,676,37,253,45,33,37,53,138,10.08
CLE,12,0,0,3,3,9,1,1,1,0,0,1,1,6
CLE,11,0,22,46,21,179,1,44,86,6,6,40,42,8.46
CLE,5,0,21,33,27,156,3,54,14,5,2,14,27,6.68
CLE,1,0,0,3,0,6,4,6,1,0,6,2,3,20
CLE,5,0,94,107,71,567,39,179,109,62,27,78,150,8.12
CLE,12,0,95,28,10,351,17,96,62,40,11,26,77,7.76
CLE,13,0,31,13,13,132,3,34,14,6,10,10,37,2.94
CLE,1,0,18,40,27,161,6,35,19,8,6,14,31,3.49
CLE,0,0,7,55,35,166,3,38,58,18,7,30,38,3.9
CLE,8,0,145,225,257,1142,148,518,116,53,21,122,125,22.98
CLE,13,0,97,34,14,373,7,90,35,11,8,29,60,10.2
CLE,5,0,177,494,297,1816,52,178,418,83,24,180,157,22.81
CLE,5,0,0,1,2,4,3,1,0,1,1,2,5,1
